index, bandwidth, time
0,22416.1,1574627033
1,22367.7,1574627034
2,22670.5,1574627035
3,22238.9,1574627036
4,21685.3,1574627037
5,21905.3,1574627038
6,21006.5,1574627039
7,20849,1574627040
8,20756.1,1574627041
9,20981.3,1574627042
10,20376,1574627043
11,16498.2,1574627044
12,12692,1574627045
13,12649.2,1574627046
14,12766.1,1574627047
15,12806.6,1574627048
16,12709.1,1574627049
17,12779,1574627050
18,12854.4,1574627051
19,12750.5,1574627052
20,15741,1574627053
21,18016.8,1574627054
22,18431.5,1574627055
23,18141,1574627056
24,18171.2,1574627057
25,17960.7,1574627058
26,18031.4,1574627059
27,18061.3,1574627060
28,17309,1574627061
29,0,1574627062
30,0,1574627063
31,0,1574627064
32,0,1574627065
33,0,1574627066
34,0,1574627067
35,0,1574627068
36,0,1574627069
37,0,1574627070
38,0,1574627071
39,0,1574627072
40,0,1574627073
41,0,1574627074
42,0,1574627075
43,0,1574627076
