index, bandwidth, time
0,12832.3,1574627044
1,12588.1,1574627045
2,12620.2,1574627046
3,12858.8,1574627047
4,12840.8,1574627048
5,12550.6,1574627049
6,12943.3,1574627050
7,12813.3,1574627051
8,12834.3,1574627052
9,18098.8,1574627053
10,17930.3,1574627054
11,18377.5,1574627055
12,18238.4,1574627056
13,18068.8,1574627057
14,18048.3,1574627058
15,18097.3,1574627059
16,17937.8,1574627060
17,29037.2,1574627061
18,41097.6,1574627062
19,42097.5,1574627063
20,43936.9,1574627064
21,43425.7,1574627065
22,42738.9,1574627066
23,42161.6,1574627067
24,42907.4,1574627068
25,42494.7,1574627069
